idProjects,ProjectName,FirstDataSource,ProjectWebpage,FacebookPage,ProjectTwitter,Comments
3539,Communication App for the Deaf and Hard of Hearing - iSignIT,Digital Social Innovation Database,http://isignit.weebly.com/english.html,NULL,NULL,
3540,Communities of passion,Digital Social Innovation Database,http://www.communitiesofpassion.com/,NULL,NULL,
3541,Community boost_r,Digital Social Innovation Database,http://www.techsoupeurope.org/programmes/community-boost_r/,NULL,NULL,
3542,Community Currencies in Action,Digital Social Innovation Database,http://communitycurrenciesinaction.eu/,NULL,NULL,
3543,Community website,Digital Social Innovation Database,Not found,NULL,NULL,
3545,compensation Lawyers,Digital Social Innovation Database,Not found,NULL,NULL,
3546,comprarhostingco,Digital Social Innovation Database,https://www.comprarhosting.co/acerca-de-mi/,NULL,NULL,
3548,computer consultant,Digital Social Innovation Database,Not found,NULL,NULL,
3552,CONCORDnet,Digital Social Innovation Database,https://www.concordeurope.net/home,NULL,NULL,Full guide behind sign-in wall
3553,Confidence,Digital Social Innovation Database,Not found,NULL,NULL,
3554,CONFINE,Digital Social Innovation Database,http://confine-project.eu/,NULL,NULL,
3555,Connect neighbors and local organizations,Digital Social Innovation Database,Not found,NULL,NULL,
3556,Connected Neigborhood,Digital Social Innovation Database,https://www.vinnova.se/en/p/connected-neighborhood/,NULL,NULL,
3557,Connecting volunteers with charities,Digital Social Innovation Database,Not found,NULL,NULL,
3558,Conquistiamoci la luna,Digital Social Innovation Database,http://www.media.inaf.it/2013/12/17/conquistiamoci-la-luna/,NULL,NULL,
3561,Consulting & Counseling,Digital Social Innovation Database,Not found,NULL,NULL,
3562,Content Marketing Service,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3564,"Research projects at transnational, national and regional level",Digital Social Innovation Database,Not found,NULL,NULL,
3565,Contributive technologies,Digital Social Innovation Database,Not found,NULL,NULL,
3572,Corporate Crowdfunding,Digital Social Innovation Database,Not found,NULL,NULL,
3575,Correlyce,Digital Social Innovation Database,http://correlyce.atrium-paca.fr/actus/article15.html,NULL,NULL,
3576,Cosmetic Dental Lab,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3578,COSMOS,Digital Social Innovation Database,http://innovatingcosmos.com/,NULL,NULL,"Possibly not the right one? If it is the right one, then title should change to ""Innovating Cosmos"""
3582,Counterfiet Fake Reviews,Digital Social Innovation Database,Not found,NULL,NULL,
3583,Coursework Help by Coursework Bliss UK,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3587,Creatifsoft | Digital Agency In Karachi,Digital Social Innovation Database,http://www.creatifsoft.com/our-approach/,NULL,NULL,Not SI?
3588,Creating Collective,Digital Social Innovation Database,http://creatingcollective.com/v9/,NULL,NULL,
3589,Creating ecosystem for crowdfunding creative projects,Digital Social Innovation Database,Not found,NULL,NULL,
3590,Creating Purposeful Organisations,Digital Social Innovation Database,Not found,NULL,NULL,
3591,Creating work opportunities,Digital Social Innovation Database,Not found,NULL,NULL,
3592,Creative communications for the public sector and not-for-profit organizations,Digital Social Innovation Database,Not found,NULL,NULL,
3593,Creative workspace for island & visiting artists,Digital Social Innovation Database,Not found,NULL,NULL,
